youthidCUF,classidCUF,neg_indegree,neg_outdegree,neg_isolate,pos_indegree,pos_outdegree,pos_isolate,n_mutual_bfs,non_reciprocal,num_bfs
13620110,136201,2,3,0,2,2,0,2,1,2
13620111,136201,2,0,0,6,5,0,5,0,5
13620112,136201,4,4,0,1,5,0,1,4,5
13620114,136201,0,1,0,6,5,0,5,0,5
13620115,136201,5,5,0,5,4,0,4,1,4
13620210,136202,0,3,0,3,3,0,2,2,3
13620211,136202,2,5,0,3,4,0,3,2,4
13620212,136202,4,3,0,2,2,0,1,2,2
13620214,136202,0,4,0,1,5,0,1,4,5
13620215,136202,8,2,0,1,1,0,1,1,1
13620218,136202,1,0,0,3,4,0,3,2,4
13620219,136202,1,4,0,4,4,0,3,2,4
14110110,141101,1,1,0,2,5,0,1,4,5
14110111,141101,1,4,0,1,1,0,0,2,1
14110112,141101,0,5,0,0,5,0,0,5,5
14110115,141101,2,4,0,0,4,0,0,5,4
14110118,141101,0,3,0,4,5,0,3,2,5
14110120,141101,0,1,0,1,3,0,0,4,3
14390110,143901,2,2,0,2,3,0,1,3,3
14390113,143901,5,1,0,1,2,0,1,2,2
14390114,143901,2,4,0,2,2,0,2,1,2
14390115,143901,0,1,0,1,1,0,1,1,1
14390119,143901,0,5,0,3,3,0,2,2,3
14390120,143901,0,4,0,2,3,0,2,2,3
14390122,143901,0,2,0,1,4,0,1,4,4
14390123,143901,0,3,0,2,2,0,2,1,2
14390124,143901,1,0,0,3,1,0,1,1,1
14690110,146901,0,0,1,6,5,0,4,1,5
14690111,146901,2,2,0,2,3,0,1,3,3
14690114,146901,0,0,1,4,3,0,3,1,3
14690115,146901,1,0,0,4,5,0,4,1,5
14690116,146901,0,3,0,5,2,0,1,2,2
14690117,146901,4,4,0,3,5,0,3,2,5
14690118,146901,3,3,0,2,1,0,1,1,1
14690119,146901,5,3,0,3,3,0,2,2,3
14690120,146901,2,1,0,2,4,0,2,3,4
14690210,146902,2,2,0,1,3,0,1,3,3
14690211,146902,1,3,0,4,5,0,4,1,5
14690212,146902,1,5,0,2,1,0,1,1,1
14690213,146902,2,2,0,4,3,0,3,1,3
14690214,146902,3,4,0,3,5,0,2,3,5
14690215,146902,11,4,0,0,1,0,0,2,1
14690216,146902,3,2,0,1,3,0,1,3,3
14690217,146902,1,3,0,2,1,0,1,1,1
14690218,146902,0,3,0,4,3,0,2,2,3
14790111,147901,2,2,0,2,3,0,2,2,3
14790114,147901,10,3,0,0,2,0,0,3,2
14790115,147901,0,3,0,3,2,0,2,1,2
14790116,147901,7,5,0,1,5,0,1,4,5
14790117,147901,1,5,0,6,5,0,4,1,5
14790118,147901,0,5,0,2,3,0,2,2,3
14790119,147901,3,2,0,3,2,0,2,1,2
