youthidCUF,pos_outdegree,neg_outdegree,pos_indegree,neg_indegree,reciprocal,non_reciprocal,pos_isolate,neg_isolate
12750214,1,0,2,3,1,1,0,0
12750215,4,5,1,3,1,4,0,0
13440102,0,2,0,1,0,1,1,0
13440107,4,5,1,1,1,4,0,0
13440108,4,1,0,4,0,5,0,0
13440109,3,5,1,0,0,4,0,0
13440111,5,5,2,1,1,4,0,0
13440112,2,5,4,4,2,1,0,0
13440113,4,5,5,0,2,3,0,0
13440114,2,0,2,3,1,2,0,0
13440115,5,5,2,1,0,5,0,0
13440117,0,0,0,0,0,1,1,1
13440122,4,2,1,0,1,4,0,0
13440125,3,4,1,6,0,4,0,0
13440126,5,4,0,3,0,5,0,0
13440302,3,4,4,0,3,1,0,0
13440304,5,3,3,1,1,4,0,0
13440305,5,5,4,1,1,4,0,0
13440306,4,1,7,0,3,2,0,0
13440308,5,5,3,0,2,3,0,0
13440310,5,5,3,1,2,3,0,0
13440311,5,1,4,7,4,1,0,0
13440313,4,4,1,3,1,4,0,0
13440314,5,5,0,6,0,5,0,0
13440315,2,2,4,2,2,1,0,0
13440316,4,2,3,6,2,3,0,0
13440318,4,4,4,0,3,2,0,0
13440319,4,2,6,4,3,2,0,0
13440320,4,1,2,12,1,4,0,0
13440323,5,5,5,3,3,2,0,0
13440324,4,3,2,0,1,4,0,0
13440325,5,2,4,0,1,4,0,0
13440326,5,3,1,3,1,4,0,0
13440327,5,3,3,3,3,2,0,0
13440328,3,5,3,1,3,1,0,0
13620102,5,3,3,0,3,2,0,0
13620104,5,3,3,0,3,2,0,0
13620105,5,0,7,0,3,2,0,1
13620106,5,2,5,1,4,1,0,0
13620107,5,3,3,2,2,3,0,0
13620108,3,2,1,2,1,3,0,0
13620109,5,2,6,0,5,0,0,0
13620110,2,3,2,2,2,1,0,0
13620111,5,0,6,2,5,0,0,0
13620112,5,4,1,4,1,4,0,0
13620114,5,1,6,0,5,0,0,0
13620115,4,5,5,5,4,1,0,0
13620117,4,0,5,0,4,1,0,1
13620202,3,4,2,3,2,2,0,0
13620205,3,4,2,2,2,2,0,0
13620206,4,5,3,1,2,3,0,0
13620207,2,3,1,7,1,2,0,0
13620208,5,4,0,2,0,5,0,0
13620209,4,5,3,0,3,2,0,0
13620210,3,3,3,0,2,2,0,0
13620211,4,5,3,2,3,2,0,0
13620212,2,3,2,4,1,2,0,0
13620214,5,4,1,0,1,4,0,0
13620215,1,2,1,8,1,1,0,0
13620218,4,0,3,1,3,2,0,0
13620219,4,4,4,1,3,2,0,0
14110102,5,1,1,2,1,4,0,0
14110105,5,5,3,0,3,2,0,0
14110107,5,5,2,0,2,3,0,0
14110109,4,5,0,4,0,5,0,0
14110110,5,1,2,1,1,4,0,0
