youthidCUF,classidCUF.x,schoolidCUF,schtype_geRV,y1_sex,y1_doby,y1_nationRV,y1_lpsc1,y1_lpsc2,y1_lpsc3,y1_lpsc4,y1_fact,y1_sat2,y1_sat1,y1_pbsch1,y1_pbsch2,y1_vict1,y1_vict2,y1_vict3,y1_pdisc1,y1_date,y1_fcoh1,y1_fcoh2,y1_fcoh3,y1_fcoh4,y1_fcoh5,y1_pdem1,y1_pdem2,y1_pdem3,y1_pdem4,y1_pdem5,y1_pdem6,y1_pdem7,y1_pinv1,y1_pinv2,y1_pinv3,y1_migage,y1_educm3,y1_educf3,y1_gradem_geCUF,y1_gradesc_geCUF,y1_gradee_geCUF,y1_repeat,y1_iseimG,y1_iseifG,y1_edasp1CS,y1_edasp2CS,y1_edasp3CS,y1_sspm,y1_sspsc,y1_sspe,y1_seff1,y1_seff2,y1_valed1,y1_asch2,y1_asch1,y1_tenc1,y1_tenc2,y1_tenc3,y1_idsc,y1_club,y1_generationGCUF,class_size,classidCUF.y,neg_indegree,neg_outdegree,neg_isolate,pos_indegree,pos_outdegree,pos_isolate,n_mutual_bfs,non_reciprocal,num_bfs,classidCUF,y1_cot_sum,y1_lat_sum
10440111,104401,1044,1,1,1995,3,5,5,5,5,4,9,9,2,4,4,4,4,3,1,3,4,2,4,4,2,3,4,4,1,1,1,3,1,3,-77,2,1,2,1,1,1,75.54000091552734,80.91999816894531,9,8,9,3,3,2,1,1,1,1,5,4,4,2,1,1,2,10,104401,0,0,1,2,5,0,2,3,5,104401,18,10
10440113,104401,1044,1,1,1994,3,4,4,4,3,3,5,8,2,2,4,3,4,2,1,2,3,2,4,2,1,1,2,2,1,1,2,2,4,1,-77,2,2,1,1,1,4,29.469999313354492,22.75,8,7,7,2,3,2,1,1,1,2,4,4,4,2,4,1,2,10,104401,0,1,0,2,3,0,1,3,3,104401,21,9
10440114,104401,1044,1,1,1993,1,4,5,5,4,3,4,5,2,4,3,3,4,3,1,2,3,3,4,4,4,5,5,5,2,2,2,4,5,4,-77,-99,2,-88,-88,-88,2,14.210000038146973,14.210000038146973,7,6,7,3,3,2,2,2,1,3,4,2,5,2,1,2,0,10,104401,4,3,0,1,2,0,1,2,2,104401,19,9
10440116,104401,1044,1,1,1993,3,5,5,5,5,-88,5,9,2,4,4,4,4,4,-88,2,4,2,4,3,4,4,4,4,2,3,3,3,4,4,-77,2,2,1,3,1,3,31.079999923706055,30.780000686645508,7,7,8,1,3,2,2,2,1,1,2,2,4,2,3,-88,2,10,104401,1,0,0,3,5,0,3,2,5,104401,18,5
10440118,104401,1044,1,2,1996,2,4,5,4,4,4,9,9,4,5,4,4,4,4,1,2,4,2,4,3,1,4,4,5,1,1,1,4,4,2,-77,2,2,1,1,1,1,25.040000915527344,-55,7,7,8,2,2,2,1,1,1,1,5,1,2,4,3,2,0,10,104401,0,4,0,1,5,0,1,4,5,104401,22,12
10440121,104401,1044,1,2,1994,3,4,4,4,4,4,6,7,2,4,4,4,4,4,1,3,4,1,4,3,2,4,5,4,2,2,3,1,1,1,-77,2,2,3,1,3,3,56,-88,8,7,8,3,2,2,1,1,1,2,4,2,1,1,4,2,2,10,104401,3,5,0,1,5,0,1,4,5,104401,13,8
10440211,104402,1044,1,1,1995,3,3,4,3,3,4,7,7,4,5,4,4,4,4,2,1,3,3,4,3,2,4,4,4,2,1,2,2,4,3,11,2,2,1,2,2,1,21.639999389648438,33.7599983215332,7,7,7,2,4,3,2,2,1,1,5,2,2,4,4,2,1,11,104402,1,1,0,3,5,0,2,3,5,104402,15,9
10440213,104402,1044,1,1,1995,3,3,4,3,3,3,8,9,5,5,4,2,2,3,2,1,4,3,4,3,1,4,5,5,1,1,2,3,5,3,-77,-99,-99,1,2,1,1,14.210000038146973,30.31999969482422,7,7,-99,1,3,3,2,2,1,1,5,2,2,5,3,2,2,11,104402,1,3,0,0,3,0,0,4,3,104402,15,8
10440214,104402,1044,1,2,1994,3,3,3,4,3,4,10,10,4,5,4,4,4,4,1,1,4,1,4,4,1,5,5,5,1,1,1,5,5,3,12,2,-99,-88,-88,-88,1,14.210000038146973,14.210000038146973,7,7,7,3,3,2,1,1,1,1,5,1,5,5,-88,2,1,11,104402,2,5,0,0,1,0,0,2,1,104402,12,4
10440215,104402,1044,1,2,1994,1,4,4,4,4,3,9,10,3,5,4,4,4,4,1,3,1,4,1,1,5,1,1,2,5,5,5,3,1,1,-77,2,-99,3,2,1,3,14.210000038146973,24.530000686645508,7,7,8,2,3,2,1,1,1,1,4,2,2,1,4,1,2,11,104402,1,5,0,2,4,0,2,3,4,104402,15,12
10440216,104402,1044,1,2,1995,1,5,5,5,5,4,4,5,4,5,4,4,4,3,2,2,3,1,4,4,1,5,5,5,1,1,1,4,5,2,-77,2,2,3,2,1,1,27.90999984741211,-88,7,7,7,3,3,3,2,1,1,2,5,2,2,5,-88,2,0,11,104402,1,1,0,2,4,0,2,3,4,104402,20,15
10440219,104402,1044,1,2,1995,1,4,4,5,4,4,8,9,4,5,4,4,4,4,1,3,4,2,4,4,3,4,4,4,2,2,2,3,4,4,1,-99,-99,3,1,1,3,24.979999542236328,79.48999786376953,7,7,7,3,3,3,1,1,1,1,4,3,2,3,2,2,1,11,104402,0,5,0,2,1,0,1,1,1,104402,20,10
10440220,104402,1044,1,2,1994,1,5,5,5,4,4,2,5,1,4,4,3,4,2,2,3,3,3,3,2,3,4,3,2,2,2,4,2,2,2,-77,1,-99,1,1,1,4,70.5,52.720001220703125,8,7,8,2,2,2,1,1,1,2,4,2,4,1,1,2,0,11,104402,1,5,0,3,1,0,1,1,1,104402,24,16
