ISEI_parent,cog_abil,sch_satisfaction,class_size,age,schooltype,immigrant,youthidCUF,classidCUF,schoolidCUF,pos_indegree,pos_outdegree,pos_isolate,neg_indegree,neg_outdegree,neg_isolate,reciprocal,non_reciprocal,german,sch_combo,sch_int,sch_comp,sch_secondary,sch_specneed,sexgirl
-0.39331405232850675,-1.8802526857796162,3,-1.441776552772557,1.8242905783593635,1,0,17830104,178301,1783,4,3,0,1,2,0,2,2,1,0,0,0,0,0,1
-0.652758172216006,-2.9367583051586847,1,-1.441776552772557,4.655443369082008,1,0,17830105,178301,1783,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
2.1542597342966583,1.5911229207516089,7,-1.441776552772557,-1.0068622123632807,1,0,17830107,178301,1783,2,2,0,3,1,0,1,2,1,0,0,0,0,0,0
-0.2147719032069464,-0.5218883180065281,6,-1.441776552772557,1.8242905783593635,1,0,17830108,178301,1783,4,5,0,0,1,0,3,2,1,0,0,0,0,0,1
-0.1531190268075677,-0.3709589438095184,5,-1.441776552772557,1.8242905783593635,1,0,17830109,178301,1783,3,5,0,2,2,0,1,4,1,0,0,0,0,0,0
-0.29706860710056493,0.3836879271755306,5,-1.441776552772557,-1.0068622123632807,1,0,17830111,178301,1783,0,4,0,0,4,0,0,5,1,0,0,0,0,0,0
1.4802630914323016,0.08182917878151101,5,-1.441776552772557,1.8242905783593635,1,0,17830116,178301,1783,4,5,0,1,5,0,2,3,1,0,0,0,0,0,0
0.6363722354658681,-0.9746764405975575,7,-1.441776552772557,1.8242905783593635,1,0,17830118,178301,1783,3,5,0,1,1,0,3,2,1,0,0,0,0,0,1
-0.9780396871442308,-1.427464563188587,5,0.3138238185226491,-1.0068622123632807,4,0,18500101,185001,1850,2,5,0,2,5,0,2,3,1,0,0,1,0,0,0
-1.0846070727241517,-0.5218883180065281,9,0.3138238185226491,0.4087141829980414,4,0,18500102,185001,1850,4,5,0,0,5,0,3,2,1,0,0,1,0,0,0
-0.8011713561211529,-0.6728176922035379,8,0.3138238185226491,0.4087141829980414,4,0,18500104,185001,1850,3,3,0,0,2,0,3,1,1,0,0,1,0,0,1
0.7716737467150867,-2.1821114341736356,3,0.3138238185226491,0.4087141829980414,4,0,18500105,185001,1850,3,3,0,3,5,0,3,1,1,0,0,1,0,0,0
-0.39610375802759706,-2.3330408083706455,8,0.3138238185226491,-1.0068622123632807,4,0,18500106,185001,1850,3,3,0,6,5,0,3,1,0,0,0,1,0,0,1
-0.7911282879011047,-2.785828930961675,5,0.3138238185226491,1.8242905783593635,4,1,18500111,185001,1850,3,2,0,1,5,0,2,1,1,0,0,1,0,0,1
